l0_target,theta0_target,theta1,theta2,fk_l0,fk_theta0,reachable,fk_l0_error,fk_theta0_error,current_jacobian_error,pre_fb627e5_jacobian_error,current_force_extension,pre_force_extension,old_pd_l0_restoring,old_pd_theta_restoring,feedforward_tau_norm
0.1219258562330587,-0.75,-0.8191757876224274,2.6167774341656207,0.1219258562330586,-0.7499999999999994,1.0,9.71445146547012e-17,5.551115123125783e-16,1.997888521287905e-10,0.24564800633824269,0.04434007536240197,0.04434007536240197,3.876655590750072e-15,6.107852905383564,8.422833286955356
0.1219258562330587,-0.7375,-0.8075401080562036,2.6170912294922126,0.12192585623305861,-0.7374999999999998,1.0,8.326672684688674e-17,2.220446049250313e-16,1.0014145068737434e-10,0.24871227849772448,0.04430786153310297,0.04430786153310297,3.320433543101909e-15,6.110712984520456,8.419773064220006
0.1219258562330587,-0.725,-0.7959023879907148,2.6174087820335554,0.12192585623305875,-0.7249999999999995,1.0,5.551115123125783e-17,4.440892098500626e-16,1.3464784842653899e-10,0.2517691314988926,0.04427597864136736,0.04427597864136736,-2.2120294916455965e-15,6.113485588841058,8.416743184046176
0.1219258562330587,-0.7125,-0.7842625062746,2.617730048357645,0.12192585623305865,-0.7124999999999999,1.0,4.163336342344337e-17,1.1102230246251565e-16,2.0426926816696778e-10,0.2548181343559275,0.04424443137618249,0.04424443137618249,1.6578400418533858e-15,6.116170352298967,8.413744125054672
0.1219258562330587,-0.7,-0.7726203416297099,2.618054984456979,0.12192585623305867,-0.7000000000000001,1.0,2.7755575615628914e-17,1.1102230246251565e-16,1.199040866595169e-10,0.25785885718199797,0.04421322440168152,0.04421322440168152,1.1044471437824768e-15,6.118766918178663,8.41077636384956
0.1219258562330587,-0.6875,-0.76097577266148,2.618383545752018,0.12192585623305864,-0.6875000000000003,1.0,5.551115123125783e-17,3.3306690738754696e-16,2.0795365429648882e-10,0.2608908684383342,0.044182362356752186,0.044182362356752186,2.2073524186859138e-15,6.121274939087799,8.407840374959763
0.1219258562330587,-0.675,-0.7493286778694956,2.6187156870947113,0.12192585623305863,-0.6750000000000002,1.0,6.938893903907228e-17,1.1102230246251565e-16,3.9091258008383534e-11,0.26391373712424415,0.04415184985463818,0.04415184985463818,2.7572850162231852e-15,6.123694076948485,8.404936630779622
0.1219258562330587,-0.6625,-0.7376789356582693,2.6190513627720993,0.12192585623305875,-0.6625000000000002,1.0,5.551115123125783e-17,2.220446049250313e-16,2.0117107979444881e-10,0.266927031636931,0.04412169148253283,0.04412169148253283,-2.2043212996192023e-15,6.126024002990308,8.40206560150851
0.1219258562330587,-0.65,-0.7260264243482306,2.619390526509993,0.1219258562330587,-0.6500000000000004,1.0,0.0,3.3306690738754696e-16,1.8044876703982027e-10,0.2699303205747232,0.044091891801164115,0.044091891801164115,0.0,6.128264397742668,8.399227755089308
0.1219258562330587,-0.6375,-0.7143710221869248,2.619733131476725,0.12192585623305863,-0.6375000000000001,1.0,6.938893903907228e-17,1.1102230246251565e-16,1.3667444953568975e-10,0.27292317220849416,0.0440624553443717,0.0440624553443717,2.7517023250222073e-15,6.130414951027928,8.396423557145908
